"","Name_submitted","Accepted_name","State","Raw.Scientific.Name","Reg.Level","Accepted.Symbol","Native.Status"
"1895","Amaranthus palmeri","Amaranthus palmeri","MN","Amaranthus palmeri","Prohibited Eradicate","AMPA","L48(N)CAN(I)"
"1896","Amaranthus palmeri","Amaranthus palmeri","MN","Amaranthus palmeri","Prohibited Noxious Weed Seeds","AMPA","L48(N)CAN(I)"
"1897","Amaranthus palmeri","Amaranthus palmeri","ND","Amaranthus palmeri","Noxious Weed","AMPA","L48(N)CAN(I)"
"1898","Amaranthus palmeri","Amaranthus palmeri","OH","Amaranthus palmeri","Noxious weed","AMPA","L48(N)CAN(I)"
"1899","Amaranthus palmeri","Amaranthus palmeri","PA","Amaranthus palmeri","Class A Noxious Weeds","AMPA","L48(N)CAN(I)"
"1900","Amaranthus palmeri","Amaranthus palmeri","SD","Amaranthus palmeri","Noxious Weed Seeds, Local Noxious Weeds","AMPA","L48(N)CAN(I)"
"1901","Amaranthus palmeri","Amaranthus palmeri","WI","Amaranthus palmeri","Prohibited Noxious Weed Seed","AMPA","L48(N)CAN(I)"
"1902","Amaranthus palmeri","Amaranthus palmeri","WY","Amaranthus palmeri","Prohibited Noxious Weed","AMPA","CAN(I)L48(N)"
"1903","Sicyos angulatus","Sicyos angulatus","DE","Sicyos angulatus","Noxious Weeds","SIAN","L48(N)CAN(N)"
"1904","Sicyos angulatus","Sicyos angulatus","IN","Sicyos angulatus","Prohibited Noxious Weeds","SIAN","L48(N)CAN(N)"
"1905","Urochloa texana","Urochloa texana","DE","Uruchloa texana","Noxious Weeds","URTE2","L48(N)"
"1906","Urochloa texana","Urochloa texana","GA","Urochloa texana","Restricted Noxious Weed Seed","URTE2","L48(N)"
"1989","Melastoma malabathricum","Melastoma malabathricum","FL","Melastoma malabathricum","Noxious Weeds","MEMA","L48(N)HI(I)"
"1990","Melastoma malabathricum","Melastoma malabathricum","MA","Melastoma malabathricum","Noxious Weed","MEMA","L48(N)HI(I)"
"1991","Melastoma malabathricum","Melastoma malabathricum","SC","Melastoma malabathricum","Plant Pests","MEMA","L48(N)HI(I)"
"2066","Saccharum spontaneum","Saccharum spontaneum","FL","Saccharum spontaneum","Noxious Weeds","SASP","L48(N)HI(I)PR(I)"
"2067","Saccharum spontaneum","Saccharum spontaneum","MA","Saccharum spontaneum","Noxious Weed","SASP","L48(N)HI(I)PR(I)"
"2068","Saccharum spontaneum","Saccharum spontaneum","SC","Saccharum spontaneum","Plant Pests","SASP","L48(N)HI(I)PR(I)"
"2132","Ipomoea alba","Ipomoea alba","GA","Ipomoea alba","Prohibited Noxious Weed Seed","IPAL","L48(N)HI(I)PR(N)VI(N)"
"2136","Plantago aristata","Plantago aristata","GA","Plantago aristate","Restricted Noxious Weed Seed","PLAR3","L48(N)HI(I)CAN(I)"
"2155","Aeschynomene indica","Aeschynomene indica","HI","Aeschynomene indica","Noxious Weeds","AEIN","L48(N)PR(N)"
"2158","Andropogon virginicus","Andropogon virginicus","HI","Andropogon virginicus","Noxious Weeds","ANVI2","L48(N)HI(I)PR(N)CAN(N)"
"2164","Chromolaena odorata","Chromolaena odorata","HI","Chromoleana odorata","Noxious Weeds","CHOD","L48(N)PR(N)VI(N)"
"2165","Clidemia hirta var. hirta",NA,"HI","Clidemia hirta var. hirta","Noxious Weeds","CLHIH2","L48(N)"
"2180","Mikania scandens","Mikania scandens","HI","Mikania scandens","Noxious Weeds","MISC","L48(N)CAN(I)"
"2190","Piper aduncum","Piper aduncum","HI","Piper aduncum","Noxious Weeds","PIAD","L48(N)PR(N)VI(N)"
"2201","Rubus argutus","Rubus argutus","HI","Rubus argutus","Noxious Weeds","RUAR2","L48(N)HI(I)"
