"","Name_submitted","Accepted_name","Family","Order","HybProp","Hyb_Ratio","perc_per","perc_wood","perc_ag","floral_symm","mating_system","repro_syndrome","pollination_syndrome","RedList","tavg","C_value","CV_C_value"
"433","Conospermum","Conospermum","Proteaceae","Proteales",0,0,"1","1",0.000625,".",".",".",".",".",".",".","."
"434","Conringia","Conringia","Brassicaceae","Brassicales",0,0,"0","0",0.00485306,".","1","1","1",".",".","0.23","."
"435","Consolida","Symphytum","Ranunculaceae","Ranunculales",0,0,"0","0",0,".","1","1","1","4",".","5.665","50.70520024"
"436","Convolvulus","Convolvulus","Convolvulaceae","Solanales",0,0,"0.859375","0.058823529",0.044375,"0","1","0.5","1","1",".","1.202","26.91575983"
"437","Conyza","Erigeron","Asteraceae","Asterales",1.086956522,0.125,"0.045454545","0",0.00210989,"0",".",".","1",".",".",".","."
"438","Coprosma","Coprosma","Rubiaceae","Gentianales",3.03030303,0.318181818,"1","0.818181818",6e-04,".",".",".",".","1",".","1.33","5.31659234"
"439","Corallorhiza","Corallorhiza","Orchidaceae","Asparagales",0,0,"1","0",0,".",".",".","1",".",".",".","."
"440","Cordylanthus","Cordylanthus","Orobanchaceae","Lamiales",0,0,"0","0",0,".",".",".",".",".",".",".","."
"441","Coreopsis","Coreopsis","Asteraceae","Asterales",0,0,"0.552631579","0.035714286",0.00210989,".",".",".",".",".",".","2.025","33.17291072"
"442","Coris","Coris","Primulaceae","Ericales",0,0,"0.5","0",0,".",".",".","1",".",".",".","."
"443","Corispermum","Corispermum","Amaranthaceae","Caryophyllales",0,0,"0","0",0.041463415,".","1","1","1",".",".",".","."
"444","Cornus","Cornus","Cornaceae","Cornales",1.322751323,0.178571429,"0.964285714","0.75",0,".","1","0.6","1","2",".","1.83","74.29835431"
"445","Coronilla","Coronilla","Fabaceae","Fabales",0,0,"0.583333333","0.333333333",0.096494845,".","1","1","1",".",".",".","."
"446","Coronopus","Plantago","Brassicaceae","Brassicales",0,0,"0.136363636","0",0.00485306,".",".",".",".",".",".",".","."
"447","Correa","Correa","Rutaceae","Sapindales",33.33333333,0.833333333,"1","1",0.001652893,".",".",".",".",".",".","1.33","."
"448","Corrigiola","Corrigiola","Molluginaceae","Caryophyllales",0,0,"0.5","0",0.022988506,".","1","1","1",".",".","0.49","."
"449","Cortaderia","Cortaderia","Poaceae","Poales",0,0,"1","0",0.074314214,".",".",".","0",".",".","3.885","14.09621067"
"450","Corybas","Corybas","Orchidaceae","Asparagales",0,0,"1","0",0,".",".",".",".",".",".",".","."
"451","Corydalis","Corydalis","Papaveraceae","Ranunculales",0,0,"0.573029198","0",0,".","1","1","1",".",".","0.7175","22.68468409"
"452","Corylus","Corylus","Betulaceae","Fagales",2.222222222,0.1,"1","1",0.054545455,".","1","1","0","1.5",".","0.45","0"
"453","Corynephorus","Corynephorus","Poaceae","Poales",0,0,"0.25","0",0.074314214,".","1","1","0",".",".","1.13","."
"454","Coryphantha","Coryphantha","Cactaceae","Caryophyllales",0,0,"1","0.666666667",0,".",".",".",".","2.8",".",".","."
"455","Cosmos","Cosmos","Asteraceae","Asterales",0,0,"0","0",0.00210989,"0","1","1","1",".",".","3.963333333","76.01711185"
"456","Cotoneaster","Cotoneaster","Rosaceae","Rosales",0.150557061,0.06097561,"1","1",0.001060071,".","0.5","0.6875","1","0.333333333",".","1.211666667","21.71311737"
"457","Cotula","Cotula","Asteraceae","Asterales",0,0,"0.423076923","0",0.00210989,".","1","1","1","2",".","2.03","."
"458","Crambe","Crambe","Brassicaceae","Brassicales",0,0,"0.9","0",0.00485306,".","1","1","1",".",".","1.825","84.38338374"
"459","Craspedia","Craspedia","Asteraceae","Asterales",4.545454545,0.25,"0.5","0",0.00210989,".",".",".",".",".",".",".","."
"460","Crassula","Crassula","Crassulaceae","Saxifragales",0,0,"0.296296296","0.111111111",0,"0","1","0.333333333","0.666666667","0",".",".","."
"461","Crataegus","Crataegus","Rosaceae","Rosales",0.737704918,0.221311475,"1","1",0.001060071,".","1","1","1","2",".","1.198","24.88391901"
"462","Crepidomanes","Trichomanes","Hymenophyllaceae","Monilophyta",0,0,"1","0",0,".",".",".",".",".",".",".","."
"463","Crepis","Crepis","Asteraceae","Asterales",0.101405186,0.059322034,"0.612279226","0",0.00210989,"0","1","0.861111111","0.977272727",".","0.911","4.19043956","53.11960139"
"464","Critesion","Hordeum","Poaceae","Poales",0,0,"0.25","0",0.074314214,".",".",".",".",".",".",".","."
"465","Crocosmia","Crocosmia","Iridaceae","Asparagales",0,0,"1","0",0,".",".",".","1",".",".","1.04","11.16689389"
"466","Crocus","Crocus","Iridaceae","Asparagales",0.269360269,0.072727273,"1","0",0,".","1","0.75","1",".",".","5.660909091","52.33293524"
"467","Crossosoma","Crossosoma","Crossosomataceae","Crossosomatales",0,0,"1","1",0,".",".",".",".",".",".",".","."
"468","Crotalaria","Crotalaria","Fabaceae","Fabales",0,0,"0.545454545","0.181818182",0.096494845,"1",".",".","1","1.583333333",".","1.16","16.26738833"
"469","Croton","Croton","Euphorbiaceae","Malpighiales",0,0,"0.333333333","0.133333333",0.01239531,"0",".",".","1","2.066666667",".",".","."
"470","Crucianella","Crucianella","Rubiaceae","Gentianales",0,0,"0.125","0.125",6e-04,".",".",".","1",".",".",".","."
"471","Cruciata","Cruciata","Rubiaceae","Gentianales",0,0,"0.8","0",6e-04,".","1","0.666666667","1",".",".","0.71","0"
"472","Crupina","Crupina","Asteraceae","Asterales",0,0,"0","0",0.00210989,".",".",".","1",".",".",".","."
"473","Crypsis","Sporobolus","Poaceae","Poales",0,0,"0","0",0.074314214,".",".",".",".",".",".",".","."
"474","Cryptandra","Cryptandra","Rhamnaceae","Rosales",0,0,"1","0.75",0.004444444,".",".",".",".",".",".",".","."
"475","Cryptantha","Cryptantha","Boraginaceae","Boraginales",0.012498438,0.007874016,"0.383064516","0.003937008",0.001824818,".",".",".",".",".",".",".","."
"476","Cryptogramma","Cryptogramma","Pteridaceae","Monilophyta",0,0,"1","0",0,".","1","1",".",".",".",".","."
"477","Cryptostylis","Cryptostylis","Orchidaceae","Asparagales",0,0,"1","0",0,".",".",".",".",".",".",".","."
"478","Ctenitis","Ctenitis","Dryopteridaceae","Monilophyta",0,0,"1","0",0,".",".",".",".","4",".",".","."
"479","Ctenopsis","Festuca","Poaceae","Poales",0,0,"0","0",0.074314214,".",".",".",".",".",".",".","."
"480","Cucumis","Cucumis","Cucurbitaceae","Cucurbitales",0,0,"0","0",0.024852071,"0",".",".",".",".",".","0.965333333","25.33907028"
"481","Cucurbita","Cucurbita","Cucurbitaceae","Cucurbitales",0,0,"0.333333333","0",0.024852071,".",".",".",".","2","0.498","0.524782609","37.23273074"
"482","Cullen","Cullen","Fabaceae","Fabales",0,0,"0.9375","0.125",0.096494845,".",".",".",".",".",".",".","."
"483","Cuphea","Cuphea","Lythraceae","Myrtales",0,0,"0.5","0.2",0,"0",".",".","1",".","0.684",".","."
"484","Cupressus","Cupressus","Cupressaceae","Pinophyta",0,0,"1","1",0.007142857,".",".",".","0.5","1.3125",".","11.75333333","6.752938703"
"485","Cuscuta","Cuscuta","Convolvulaceae","Solanales",0,0,"0.256756757","0",0.044375,"0","1","1","1","3",".","6.981666667","128.0326503"
"486","Cusickiella","Cusickiella","Brassicaceae","Brassicales",0,0,"1","0",0.00485306,".",".",".",".",".",".",".","."
"487","Cutandia","Cutandia","Poaceae","Poales",0,0,"0","0",0.074314214,".",".",".",".",".",".",".","."
"488","Cyanea","Cyanea","Campanulaceae","Asterales",0.226244344,0.057692308,"1","1",0,".",".",".",".","3.941176471",".",".","."
"489","Cyathea","Cyathea","Cyatheaceae","Monilophyta",33.33333333,0.333333333,"1","1",0,".",".",".",".","2.071428571",".","7.35","."
"490","Cyclamen","Cyclamen","Primulaceae","Ericales",0,0,"1","0",0,".","1","1","1",".",".","4.982727273","75.66306623"
"491","Cylindropuntia","Cylindropuntia","Cactaceae","Caryophyllales",30,0.6,"1","1",0,".",".",".",".",".",".",".","."
"492","Cymbalaria","Cymbalaria","Plantaginaceae","Lamiales",0,0,"1","0",0.005925926,".","1","0.5","1",".",".","0.49","."
"493","Cymbonotus","Cymbonotus","Asteraceae","Asterales",0,0,".","0",0.00210989,".",".",".",".",".",".",".","."
"494","Cymbopogon","Cymbopogon","Poaceae","Poales",0,0,"1","0",0.074314214,".",".",".","0",".",".",".","."
"495","Cymopterus","Cymopterus","Apiaceae","Apiales",0,0,"1","0",0.003968254,".",".",".",".",".",".",".","."
"496","Cynanchum","Cynanchum","Apocynaceae","Gentianales",0,0,"1","1",0.000658617,"0",".",".","1","2.6",".",".","."
"497","Cynara","Cynara","Asteraceae","Asterales",0,0,"1","0",0.00210989,".",".",".",".",".",".","1.1","."
"498","Cynodon","Cynodon","Poaceae","Poales",0,0,"1","0",0.074314214,".","1","0","0",".",".","0.91","31.49458985"
"499","Cynoglossum","Cynoglossum","Boraginaceae","Boraginales",0.333333333,0.04,"0.35","0",0.001824818,"0","1","1","1",".","0.678",".","."
"500","Cynosurus","Cynosurus","Poaceae","Poales",0,0,"0.416666667","0",0.074314214,".","1","0.75","0",".","0.96","2.925","0"
"501","Cyperus","Cyperus","Cyperaceae","Poales",0,0,"0.619499569","0",0.00045977,"0.5","1","0.7","0","3.333333333","0.019","0.736","52.66238446"
"502","Cyphanthera","Cyphanthera","Solanaceae","Solanales",33.33333333,0.333333333,"1","1",0.089837398,".",".",".",".",".",".",".","."
"503","Cypripedium","Cypripedium","Orchidaceae","Asparagales",0.735294118,0.058823529,"1","0",0,".","1","0.5","1","3.454545455",".","29.856","34.4534199"
"504","Cyrtandra","Cyrtandra","Gesneriaceae","Lamiales",4.862119013,1.264150943,"1","0.981132075",0,".",".",".",".","2.346153846",".",".","."
"505","Cyrtomium","Cyrtomium","Dryopteridaceae","Monilophyta",0,0,"1","0",0,".",".",".",".","2.5",".",".","."
"506","Cyrtostylis","Cyrtostylis","Orchidaceae","Asparagales",0,0,"1","0",0,".",".",".",".",".",".",".","."
"507","Cytinus","Cytinus","Cytinaceae","Malvales",0,0,"1","0",0,"0",".",".","1",".",".",".","."
"508","Cytisus","Cytisus","Fabaceae","Fabales",0.189393939,0.03030303,"1","1",0.096494845,".","1","1","1",".",".","1.465833333","48.01164446"
"509","Daboecia","Daboecia","Ericaceae","Ericales",0,0,"1","1",0,".",".","0.5","1",".",".",".","."
"510","Dactylis","Dactylis","Poaceae","Poales",0,0,"1","0",0.074314214,".","1","1","0.5",".",".","4.002222222","0"
