"AcceptedName","Habit","NativeStatus","n_nurseries","StatesSold","NativeRange","StatesRegulated","P_conventional","P_native","Rank"
"Isolepis cernua","Grass","EFNonNative",3,"NY","OR, WA, CA, TX",NA,0.01171875,0,1311
"Magnolia grandiflora","Tree","EFNative",3,"NJ, VA","TX, AL, AR, FL, GA, LA, MS, NC, SC",NA,0.01171875,0,1312
"Melampodium divaricatum","Forb/herb","EFNative",3,"VT, MA, PA","FL",NA,0.01171875,0,1313
"Penstemon pinifolius","Forb/herb","EFNonNative",3,"MD, VA, VT","AZ, NM",NA,0.01171875,0,1314
"Picea sitchensis","Tree","EFNonNative",3,"DE, MD, MA","AK, OR, WA, CA",NA,0.01171875,0,1315
"Pinus longaeva","Tree","EFNonNative",3,"MA, ME, DE","CA, NV, UT",NA,0.01171875,0,1316
"Pinus ponderosa","Tree","EFNonNative",3,"PA, VT","CO, ID, MT, OR, WA, WY, ND, NE, OK, SD, AZ, CA, NV, UT, NM, TX",NA,0.01171875,0,1317
"Pistia stratiotes","Forb/herb","EFNative",3,"MA, OH","TX, FL, LA, MS","AL, MS, OH, SC, TX, WI",0.01171875,0,1318
"Polystichum braunii","Forb/herb","EFNative",3,"NY, NJ","AK, ID, MN, WI, CT, ME, MA, MI, NH, NY, PA, VT",NA,0.01171875,0,1319
"Prosartes maculata","Forb/herb","EFNative",3,"CT, VT, WV","MI, OH, WV, AL, GA, KY, NC, TN, VA",NA,0.01171875,0,1320
"Salvia apiana","Shrub","EFNonNative",3,"MD, ME, NH","CA",NA,0.01171875,0,1321
"Sequoiadendron giganteum","Tree","EFNonNative",3,"DE, PA, MA","CA",NA,0.01171875,0,1322
"Sporobolus wrightii","Grass","EFNative",3,"NJ, PA","OK, AZ, CA, UT, NM, TX, SC",NA,0.01171875,0,1323
"Thymophylla tenuiloba","Forb/herb","EFNative",3,"MA, NJ, NH","TX, AL, FL, LA, MS, SC",NA,0.01171875,0,1324
"Tsuga caroliniana","Tree","EFNative",3,"ME, DE, MA","GA, NC, SC, TN, VA",NA,0.01171875,0,1325
"Ulmus alata","Tree","EFNative",3,"VA, OH, DE","IL, KS, MO, OK, IN, OH, TX, AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA",NA,0.01171875,0,1326
"Vernonia arkansana","Forb/herb","EFNative",3,"RI, CT, VT","KS, MO, OK, AR",NA,0.01171875,0,1327
"Bouteloua gracilis","Grass","EFNative",36,"OH, KY, MD, PA, MA, RI, NJ, DE, CT, VT, NH, VA, ME","CO, ID, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, MI, OH, AZ, CA, NV, UT, NM, TX",NA,0.109375,0.0963855421686747,1328
"Catalpa speciosa","Tree","EFNative",36,"OH, MD, KY, NJ, MA, VA, VT, ME, DE, PA, NH","IL, IA, KS, MO, ND, NE, OK, SD, CT, IN, MA, MI, NH, NY, OH, PA, VT, WV, UT, NM, TX, AL, AR, GA, KY, LA, MS, NC, SC, TN, VA",NA,0.109375,0.0963855421686747,1329
"Juniperus virginiana","Tree","EFNative",122,"OH, DE, MD, KY, NJ, PA, MA, NY, VA, CT, RI, ME, VT, NH","CO, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.36328125,0.349397590361446,1330
"Diervilla sessilifolia","Shrub","EFNative",20,"OH, KY, NJ, CT, PA, ME, VA, MD, MA","AL, GA, NC, SC, TN",NA,0.0625,0.0481927710843374,1331
"Coreopsis palustris","Forb/herb","EFNative",12,"MD, PA, VA, CT, OH, DE","NC",NA,0.0390625,0.0240963855421687,1332
"Liquidambar styraciflua","Tree","EFNative",106,"OH, MD, KY, NY, NJ, MA, RI, PA, VA, CT, DE, ME, NH, VT","IL, MO, OK, CT, IN, PA, WV, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN",NA,0.31640625,0.301204819277108,1333
"Anemone cylindrica","Forb/herb","EFNative",4,"PA, VA, MA, CT","CO, ID, MT, WY, IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, AZ, NM",NA,0.015625,0,1334
"Calocedrus decurrens","Tree","EFNonNative",4,"CT, OH, PA, MA","OR, CA",NA,0.015625,0,1335
"Duranta erecta","Shrub","EFNative",4,"PA, ME, NJ","FL",NA,0.015625,0,1336
"Eustoma russellianum","Forb/herb","EFNative",4,"MA, ME, PA, RI","CO, MT, WY, KS, NE, OK, SD, NM, TX, AR, LA",NA,0.015625,0,1337
"Halesia diptera","Shrub","EFNative",4,"NJ, VA, DE, MD","TX, AL, AR, FL, GA, LA, MS, SC",NA,0.015625,0,1338
"Paxistima canbyi","Shrub","EFNative",4,"CT, ME, DE","OH, PA, WV, KY, MD, NC, TN, VA",NA,0.015625,0,1339
"Phlox drummondii","Forb/herb","EFNative",4,"MA, VT, PA","MN, MO, OK, CT, MI, VT, TX, AL, AR, FL, GA, LA, MD, MS, NC, SC, VA",NA,0.015625,0,1340
"Picea breweriana","Tree","EFNonNative",4,"MA, MD, VT","OR, CA",NA,0.015625,0,1341
"Quercus macrocarpa","Shrub","EFNative",66,"OH, MD, KY, NJ, MA, PA, VA, NY, VT, NH, DE, ME, CT","MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NY, OH, PA, VT, WV, TX, AL, AR, KY, LA, MD, TN, VA",NA,0.19921875,0.180722891566265,1342
"Carya laciniosa","Tree","EFNative",13,"NJ, OH, DE, PA, ME, MD","IL, IA, KS, MO, OK, IN, MI, NY, OH, PA, WV, TX, AL, AR, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.04296875,0.0240963855421687,1343
"Clematis texensis","Vine","EFNonNative",9,"NY, MD, PA, VT, CT","TX",NA,0.03125,0.0120481927710843,1344
"Coreopsis pubescens","Forb/herb","EFNative",9,"MA, PA, DE, MD, ME, OH","IL, KS, MO, OK, CT, MA, WV, TX, AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA",NA,0.03125,0.0120481927710843,1345
